config,MRR,R@1,R@5,R@20,R@50,R@100
"① V + O_gốc + A_gốc                    (equal RRF, không QE)",0.4751207061029818,0.31,0.68,0.84,0.88,0.91
"② V + O_qo + A_qa                      (chỉ QE, BỎ gốc)",0.48671941463985946,0.31,0.73,0.83,0.9,0.93
③ V + (O_gốc+O_qo)/2 + A_gốc           (QE chỉ OCR),0.49887503068419486,0.33,0.72,0.84,0.88,0.92
④ V + O_gốc + (A_gốc+A_qa)/2           (QE chỉ ASR),0.4874075317819726,0.31,0.72,0.85,0.89,0.92
⑤ V + (O_gốc+O_qo)/2 + (A_gốc+A_qa)/2  (QE cả hai) ★,0.5281337086882865,0.37,0.73,0.86,0.89,0.93
"⑥ V + O_gốc + O_qo + A_gốc + A_qa      (PHẲNG, không phân cấp)",0.4426915640789252,0.28,0.66,0.76,0.79,0.89
