config,MRR,R@1,R@5,R@20,R@50,R@100
title only,0.005605734767025089,0.0,0.01,0.03,0.03,0.04
E3 tốt nhất (không title),0.5281337086882865,0.37,0.73,0.86,0.89,0.93
E3 + title (đều),0.5092501365480117,0.36,0.69,0.84,0.9,0.93
E3 + title×0.5,0.5300338006372635,0.37,0.73,0.86,0.89,0.94
E3 + title×0.25,0.535122646732049,0.38,0.73,0.87,0.89,0.93
