w_visual,w_ocr,w_asr,MRR,R@1,R@5,R@20,R@50,R@100
0.3,0.4,0.3,0.2754812646929661,0.16666666666666666,0.3952380952380952,0.5666666666666667,0.6523809523809524,0.6857142857142857
0.2,0.4,0.4,0.2721706114775656,0.14761904761904762,0.44285714285714284,0.5380952380952381,0.5666666666666667,0.638095238095238
0.4,0.4,0.2,0.2654985652629251,0.17142857142857143,0.38095238095238093,0.47619047619047616,0.5619047619047619,0.6571428571428571
0.3,0.3,0.4,0.2652884146599253,0.14285714285714285,0.43333333333333335,0.5571428571428572,0.6333333333333333,0.7
0.4,0.2,0.4,0.259455460744303,0.1380952380952381,0.40476190476190477,0.5619047619047619,0.6190476190476191,0.6761904761904762
0.1,0.5,0.4,0.2590581699351445,0.1619047619047619,0.3904761904761905,0.5142857142857142,0.5523809523809524,0.5714285714285714
0.4,0.3,0.3,0.2573284988559279,0.1619047619047619,0.35714285714285715,0.49523809523809526,0.6523809523809524,0.7
0.0,0.5,0.5,0.2546047155168872,0.1523809523809524,0.40476190476190477,0.5190476190476191,0.5428571428571428,0.5666666666666667
0.1,0.4,0.5,0.25165151699185284,0.14285714285714285,0.4,0.5190476190476191,0.5571428571428572,0.5761904761904761
0.3,0.5,0.2,0.24530393046276203,0.1619047619047619,0.3333333333333333,0.47619047619047616,0.5333333333333333,0.6238095238095238
0.4,0.5,0.1,0.24407645430185163,0.16666666666666666,0.32857142857142857,0.44285714285714284,0.5238095238095238,0.5619047619047619
0.2,0.5,0.3,0.2440590960934503,0.14285714285714285,0.34285714285714286,0.5095238095238095,0.5571428571428572,0.6285714285714286
0.2,0.3,0.5,0.23381421480065492,0.11428571428571428,0.38571428571428573,0.5,0.5571428571428572,0.6238095238095238
0.1,0.3,0.6,0.23133008372295716,0.13333333333333333,0.3619047619047619,0.4380952380952381,0.5333333333333333,0.5714285714285714
0.3,0.2,0.5,0.23070297318218327,0.10952380952380952,0.3904761904761905,0.5047619047619047,0.5761904761904761,0.6571428571428571
0.1,0.6,0.3,0.23012044010407368,0.15714285714285714,0.30952380952380953,0.4238095238095238,0.5333333333333333,0.5619047619047619
0.2,0.6,0.2,0.22762961772254214,0.15714285714285714,0.3047619047619048,0.3904761904761905,0.42857142857142855,0.5523809523809524
0.5,0.5,0.0,0.2266212782633816,0.1523809523809524,0.3142857142857143,0.4142857142857143,0.5,0.5523809523809524
0.4,0.1,0.5,0.22621255483305971,0.10952380952380952,0.36666666666666664,0.5142857142857142,0.5904761904761905,0.6476190476190476
0.3,0.6,0.1,0.22377420461689265,0.1523809523809524,0.28095238095238095,0.4,0.4857142857142857,0.5333333333333333
0.1,0.2,0.7,0.22221988815645213,0.1380952380952381,0.3333333333333333,0.38095238095238093,0.44285714285714284,0.5238095238095238
0.5,0.3,0.2,0.2204829471537625,0.1380952380952381,0.3047619047619048,0.42857142857142855,0.5380952380952381,0.6476190476190476
0.1,0.1,0.8,0.2200732959469899,0.1380952380952381,0.3238095238095238,0.36666666666666664,0.3952380952380952,0.43333333333333335
0.1,0.0,0.9,0.2199192577409546,0.1523809523809524,0.3,0.36666666666666664,0.3952380952380952,0.4142857142857143
0.5,0.4,0.1,0.21828846206308122,0.1380952380952381,0.319047619047619,0.41904761904761906,0.5190476190476191,0.5904761904761905
0.5,0.2,0.3,0.2174349652484078,0.13333333333333333,0.3047619047619048,0.41904761904761906,0.6095238095238096,0.680952380952381
0.0,0.4,0.6,0.21734503092571597,0.11904761904761904,0.3523809523809524,0.4666666666666667,0.5380952380952381,0.5619047619047619
0.4,0.6,0.0,0.21731011644131387,0.14761904761904762,0.28095238095238095,0.43333333333333335,0.49047619047619045,0.5142857142857142
0.0,0.3,0.7,0.21526173803234577,0.12380952380952381,0.3238095238095238,0.38095238095238093,0.4523809523809524,0.5523809523809524
