query_type,n,E3_MRR,E4_MRR,delta
vision,45,0.09661206868251544,0.026998352894848168,-0.06961371578766727
vision+asr,55,0.257571396449821,0.26639513083977806,0.00882373438995701
vision+ocr,55,0.3518649490966647,0.351962391935654,9.744283898927816e-05
vision+ocr+asr,55,0.4043415330366403,0.4309859994749638,0.026644466438323505
