config,MRR,R@1,R@5,R@20,R@50,R@100
V,0.12573660688167834,0.07142857142857142,0.18095238095238095,0.2904761904761905,0.3761904761904762,0.42857142857142855
V+O,0.2266212782633816,0.1523809523809524,0.3142857142857143,0.4142857142857143,0.5,0.5523809523809524
V+A,0.20698130715375584,0.09523809523809523,0.3380952380952381,0.5047619047619047,0.580952380952381,0.638095238095238
O+A,0.2546047155168872,0.1523809523809524,0.40476190476190477,0.5190476190476191,0.5428571428571428,0.5666666666666667
V+O+A (alpha*),0.2806134266859047,0.1619047619047619,0.43333333333333335,0.580952380952381,0.6523809523809524,0.6952380952380952
