set,query_id,channel,rr_V,rank_V,rr_O,rank_O,rr_A,rank_A
bench_kis,q_3cac42d635c73c00,Báo Tuổi Trẻ,0.5,2,1.0,1,0.16666666666666666,6
bench_kis,q_b94574d444272c04,HTV Sports,0.0027472527472527475,364,4.972650422675286e-05,20110,0.5,2
bench_kis,q_730d34c063ce8670,Báo Tuổi Trẻ,0.5,2,0.02702702702702703,37,0.2,5
bench_kis,q_daf9fe8716ae10a0,60 Giây Official,0.0006337135614702154,1578,4.2170961076202926e-05,23713,0.25,4
bench_kis,q_dc737e4159325db5,Báo Tuổi Trẻ,1.0,1,0.3333333333333333,3,0.5,2
bench_kis,q_f6809540ca19cfb2,HTV Entertainment,0.3333333333333333,3,0.2,5,0.5,2
bench_kis,q_61dc5aa352667bea,HTV Giải Trí,0.058823529411764705,17,0.5,2,1.0,1
bench_kis,q_57a03c45c3fcc1a4,HTV Giải Trí,1.0,1,1.0,1,0.2,5
bench_kis,q_fe70103f21632d4a,HTV Sports,0.025,40,2.169526826199206e-05,46093,1.0,1
bench_kis,q_f0485a2009013993,60 Giây Official,0.25,4,0.1111111111111111,9,0.5,2
bench_kis,q_1388bd26f11afc4e,Báo Tuổi Trẻ,1.0,1,0.3333333333333333,3,0.1111111111111111,9
bench_kis,q_5f877b4399169c61,HTV Sports,0.08333333333333333,12,0.5,2,1.023761504519907e-05,97679
bench_kis,q_4cf358979df60f9b,HTV Sports,0.25,4,1.0,1,0.25,4
bench_kis,q_5b547cc4097c4d8a,HTV Sports,0.0017064846416382253,586,0.5,2,1.3510957386440404e-05,74014
bench_kis,q_7efeeb84caf96d85,HTV Entertainment,0.25,4,1.0,1,0.07142857142857142,14
bench_kis,q_d054b0bc481e6b5e,60 Giây Official,0.08333333333333333,12,0.01694915254237288,59,0.16666666666666666,6
bench_kis,q_2bf8758ffd694537,Báo Tuổi Trẻ,0.25,4,4.611057315442431e-05,21687,0.5,2
bench_kis,q_d2dc1b0b2918cadd,HTV Entertainment,0.25,4,2.132741852926122e-05,46888,1.0,1
bench_kis,q_d3f2fb68471e9cbb,Báo Tuổi Trẻ,0.25,4,0.00010197838058331633,9806,1.0,1
bench_kis,q_9018c34d53a935b0,HTV Entertainment,0.5,2,0.25,4,0.25,4
bench_kis,q_2502a3fd7d5ae6e9,60 Giây Official,0.003875968992248062,258,0.5,2,0.25,4
bench_kis,q_351b1b467391301c,60 Giây Official,0.16666666666666666,6,7.278550112817527e-05,13739,0.3333333333333333,3
